Quarter,Market_Vendor,Market_Share
2017Q3,Huawei,0.01
2017Q4,Huawei,0.01
2018Q1,Huawei,0.01
2018Q2,Huawei,0.01
2018Q3,Huawei,0.01
2018Q4,Huawei,0.0
2019Q1,Huawei,0.0
2019Q2,Huawei,0.01
2019Q3,Huawei,0.31
2019Q4,Huawei,1.9
2020Q1,Huawei,2.88
2020Q2,Huawei,3.22
2020Q3,Huawei,3.54
2020Q4,Huawei,3.88
2021Q1,Huawei,3.98
2021Q2,Huawei,3.92
2021Q3,Huawei,3.67
2021Q4,Huawei,3.48
2022Q1,Huawei,3.15
2022Q2,Huawei,3.14
2022Q3,Huawei,2.93
2022Q4,Huawei,2.75
2023Q1,Huawei,2.55
2023Q2,Huawei,2.39
2023Q3,Huawei,2.17
2023Q4,Huawei,2.44
2024Q1,Huawei,2.14
2024Q2,Huawei,2.05
2024Q3,Huawei,1.98
2024Q4,Huawei,1.95
2025Q1,Huawei,1.98
2025Q2,Huawei,1.9
2025Q3,Huawei,1.84
2025Q4,Huawei,1.73
2026Q1,Huawei,1.66
2026Q2,Huawei,1.67
2013Q1,Lenovo,0.0
2013Q2,Lenovo,0.0
2013Q3,Lenovo,0.0
2013Q4,Lenovo,0.07
2014Q1,Lenovo,0.19
2014Q2,Lenovo,0.5
2014Q3,Lenovo,0.52
2014Q4,Lenovo,0.52
2015Q1,Lenovo,0.48
2015Q2,Lenovo,0.45
2015Q3,Lenovo,0.41
2015Q4,Lenovo,0.38
2016Q1,Lenovo,0.42
2016Q2,Lenovo,0.54
2016Q3,Lenovo,0.53
2016Q4,Lenovo,0.61
2017Q1,Lenovo,0.67
2017Q2,Lenovo,0.66
2017Q3,Lenovo,0.63
2017Q4,Lenovo,0.6
2018Q1,Lenovo,0.56
2018Q2,Lenovo,0.56
2018Q3,Lenovo,0.51
2018Q4,Lenovo,0.31
2019Q1,Lenovo,0.25
2019Q2,Lenovo,0.35
2019Q3,Lenovo,0.33
2019Q4,Lenovo,0.37
2020Q1,Lenovo,0.37
2020Q2,Lenovo,0.32
2020Q3,Lenovo,0.31
2020Q4,Lenovo,0.26
2021Q1,Lenovo,0.22
2021Q2,Lenovo,0.21
2021Q3,Lenovo,0.19
2021Q4,Lenovo,0.16
2022Q1,Lenovo,0.12
2022Q2,Lenovo,0.11
2022Q3,Lenovo,0.11
2022Q4,Lenovo,0.09
2023Q1,Lenovo,0.06
2023Q2,Lenovo,0.06
2023Q3,Lenovo,0.04
2023Q4,Lenovo,0.25
2024Q1,Lenovo,0.33
2024Q2,Lenovo,0.37
2024Q3,Lenovo,0.53
2024Q4,Lenovo,0.77
